topology,action_name,count,percent,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_pr,mean_db,full_od_fallback_rate,selected_od_lp_rate
ALL,OPTIMIZE_K30_DB_0.01,3185,80.11,51.443,7.828,339.411,346.548,549.05,0.94172,0.006324,0.0,1.0
ALL,OPTIMIZE_K30_DB_0.03,351,8.83,48.823,7.735,125.153,129.514,328.89,0.92033,0.008685,0.0,1.0
ALL,OPTIMIZE_K40_DB_0.01,113,2.84,83.452,77.478,90.161,289.675,328.297,0.83431,0.002915,0.0,1.0
ALL,OPTIMIZE_K40_DB_0.03,327,8.22,36.839,8.003,87.63,127.648,319.355,0.90136,0.012606,0.0,1.0
abilene,OPTIMIZE_K30_DB_0.01,1638,81.25,7.179,7.053,7.718,8.271,265.478,0.97419,0.007859,0.0,1.0
abilene,OPTIMIZE_K30_DB_0.03,189,9.38,7.228,7.222,7.791,8.046,8.099,0.96714,0.012593,0.0,1.0
abilene,OPTIMIZE_K40_DB_0.03,189,9.38,7.606,7.56,8.178,8.379,8.499,0.95326,0.014341,0.0,1.0
cernet,OPTIMIZE_K30_DB_0.01,182,91.0,88.669,87.094,90.468,179.977,318.893,0.71313,0.007554,0.0,1.0
cernet,OPTIMIZE_K30_DB_0.03,9,4.5,87.08,87.759,89.153,89.469,89.548,0.70412,0.010868,0.0,1.0
cernet,OPTIMIZE_K40_DB_0.03,9,4.5,58.693,61.189,62.889,63.397,63.524,0.70936,0.01559,0.0,1.0
ebone,OPTIMIZE_K30_DB_0.01,200,100.0,15.362,15.036,16.94,23.53,32.854,0.99992,0.002277,0.0,1.0
geant,OPTIMIZE_K30_DB_0.01,621,92.41,45.206,50.96,53.881,94.982,231.119,0.99423,0.003611,0.0,1.0
geant,OPTIMIZE_K30_DB_0.03,38,5.65,47.104,51.265,52.286,52.865,53.204,0.99465,0.004527,0.0,1.0
geant,OPTIMIZE_K40_DB_0.03,13,1.93,52.924,37.48,140.124,262.106,292.601,0.8531,0.057552,0.0,1.0
germany50,OPTIMIZE_K30_DB_0.01,231,80.21,91.681,92.935,101.817,185.748,263.97,0.82908,0.01209,0.0,1.0
germany50,OPTIMIZE_K30_DB_0.03,19,6.6,98.56,87.385,110.473,261.386,299.115,0.9064,0.010824,0.0,1.0
germany50,OPTIMIZE_K40_DB_0.01,19,6.6,61.507,61.257,63.673,64.636,64.877,0.89934,0.007798,0.0,1.0
germany50,OPTIMIZE_K40_DB_0.03,19,6.6,61.941,62.102,63.058,63.373,63.452,0.91916,0.012744,0.0,1.0
sprintlink,OPTIMIZE_K30_DB_0.03,67,33.5,111.518,111.055,115.23,120.932,125.578,0.87088,0.001919,0.0,1.0
sprintlink,OPTIMIZE_K40_DB_0.01,66,33.0,83.79,77.36,81.57,278.611,292.181,0.86845,0.001728,0.0,1.0
sprintlink,OPTIMIZE_K40_DB_0.03,67,33.5,82.72,77.355,106.284,193.26,319.355,0.8695,0.002436,0.0,1.0
tiscali,OPTIMIZE_K30_DB_0.01,114,57.0,130.906,125.768,131.702,296.894,369.638,0.71494,0.001823,0.0,1.0
tiscali,OPTIMIZE_K30_DB_0.03,29,14.5,132.846,125.296,131.885,274.104,328.89,0.70837,0.002219,0.0,1.0
tiscali,OPTIMIZE_K40_DB_0.01,28,14.0,97.545,87.5,110.177,271.817,328.297,0.70972,0.0024,0.0,1.0
tiscali,OPTIMIZE_K40_DB_0.03,29,14.5,86.455,87.264,90.767,93.849,94.674,0.70563,0.003604,0.0,1.0
vtlwavenet2011,OPTIMIZE_K30_DB_0.01,199,99.5,345.234,341.519,351.758,421.826,549.05,0.92173,0.00099,0.0,1.0
vtlwavenet2011,OPTIMIZE_K40_DB_0.03,1,0.5,166.406,166.406,166.406,166.406,166.406,0.9212,0.013334,0.0,1.0
